32.0202, 5400, 1800, 0, -nan, -nan
35.8301, 5368.02, 3647.95, 0.000338414, 0, 0
35.8401, 5368.02, 3647.95, 0.000338414, 182.89, 2097.54
35.8501, 5368.02, 3647.95, 0.000338414, 0, 0
35.8601, 5372.93, 3668.32, 0.000334975, 0, 0
35.8701, 5376.92, 3689.46, 0.00035283, 491.206, 2035.45
35.8801, 5376.92, 3689.46, 0.00035283, 399.028, 2114.5
35.8901, 5377.98, 3711.53, 0.000358567, 0, 0
35.9001, 5377.98, 3711.53, 0.000358567, 105.422, 2201.69
35.9101, 5378.88, 3733.75, 0.000378987, 0, 0
35.9201, 5378.88, 3733.75, 0.000378987, 90.2164, 2221.98
35.9301, 5380.09, 3756.43, 0.000353886, 0, 0
35.9401, 5380.09, 3756.43, 0.000353886, 120.974, 2267.17
35.9501, 5380.99, 3778.5, 0.00034952, 0, 0
35.9601, 5380.99, 3778.5, 0.00034952, 90.0112, 2200.52
35.9701, 5381.74, 3801.18, 0.00036019, 0, 0
35.98, 5381.74, 3801.18, 0.00036019, 74.7226, 2266.85
35.9901, 5382.18, 3824.32, 0.000364274, 0, 0
36.0001, 5382.18, 3824.32, 0.000364274, 43.6462, 2303.91
36.0101, 5382.46, 3847.93, 0.000348125, 0, 0
36.0201, 5382.46, 3847.93, 0.000348125, 28.3539, 2359.27
36.0301, 5383.06, 3871.07, 0.000324822, 0, 0
36.0401, 5383.06, 3871.07, 0.000324822, 59.2261, 2310.01
36.0501, 5383.65, 3894.53, 0.000417151, 0, 0
36.0601, 5383.65, 3894.53, 0.000417151, 59.1465, 2345.22
36.0701, 5383.65, 3894.53, 0.000417151, 0, 0
36.0801, 5384.09, 3917.83, 0.000418782, 0, 0
36.0901, 5387.76, 3940.98, 0.000436349, 43.7144, 2331.11
36.1001, 5387.76, 3940.98, 0.000436349, 367.253, 2311.9
36.1101, 5388.97, 3964.74, 0.000454519, 0, 0
36.1201, 5388.97, 3964.74, 0.000454519, 120.8, 2378.14
36.1301, 5388.97, 3964.74, 0.000454519, 0, 0
36.1401, 5389.25, 3988.96, 0.000464599, 0, 0
36.1501, 5390.76, 4013.34, 0.000470108, 28.0278, 2420.14
36.1601, 5390.76, 4013.34, 0.000470108, 151.484, 2438.84
36.1701, 5391.04, 4038.34, 0.000445902, 0, 0
36.1801, 5391.04, 4038.34, 0.000445902, 27.9283, 2497.87
36.1901, 5391.04, 4038.34, 0.000445902, 0, 0
36.2001, 5391.48, 4062.72, 0.000445268, 0, 0
